城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
云南,普者黑,5A,5,180,146,云南·文山·丘北县,"104.13577,24.123152",中国独一无二的喀斯特山水田园风光,FALSE,云南省文山壮族苗族自治州丘北县城西13公里
云南,基诺山,,4.2,152,144,云南·西双版纳·景洪市,"100.992626,22.061546",感受原始、纯朴的民俗风情,FALSE,云南省西双版纳景洪市基诺乡
云南,喜洲,,3.9,15,136,云南·大理·大理市,"100.13721,25.856048",建筑造型独具特色，庄重雄浑，古朴典雅,FALSE,云南-大理古城以北18公里处
云南,冰川公园,,3.6,188,132,云南·丽江·玉龙雪山,"100.260971,27.104797",浓缩全球中低纬度山岳冰川的主要精华,FALSE,云南省丽江市玉龙纳西族自治县雪山景区内
云南,多依河,3A,5,40,130,云南·曲靖·罗平县,"104.507315,24.768979",布依风情浓郁，原始古朴的水车缓慢运转,FALSE,云南省曲靖市罗平县罗乃路
云南,昆明西游洞,,0,85,126,云南·昆明·五华区,"102.648809,25.147944",喀斯特地质溶洞，《西游记》的拍摄地,FALSE,云南省昆明市五华区昆禄公路6公里处
云南,坝美景区,3A,0,180,118,云南·文山·广南县,"105.047666,24.319947",山清水秀，充满绿意，秀美世外桃源,FALSE,云南省文山壮族苗族自治州广南县
云南,情人树,,0,70,110,云南·丽江·宁蒗县,"100.841051,27.679344",人间爱情的见证,FALSE,云南省丽江市宁蒗彝族自治县环湖公路
云南,西双版纳热带花卉园,4A,3.9,35,110,云南·西双版纳·景洪市,"100.794184,22.016914",白白的缅桂花香气，飘进每一个傣家竹楼,FALSE,云南省西双版纳傣族自治州景洪市宣慰大道99号
云南,牦牛坪索道,,0,220,108,云南·丽江·玉龙雪山,"100.26092,27.104549",与天然幽静古补的原始森林景观为群,FALSE,云南省丽江市玉龙纳西族自治县玉龙雪山国家风景名胜区北部
云南,里格半岛,,0,150,106,云南·丽江·宁蒗县,"100.758068,27.733882",宛如仙境的小岛,FALSE,云南省丽江市宁蒗彝族自治县
云南,湄公河水底世界,,0,98,98,云南·西双版纳,"100.880826,22.033484",湄公河水底世界里面有各种海洋鱼类，水母等！有美人鱼剧场表演，有震撼的7D飞跃湄公河8分钟带您体验一江通六国的奇幻之旅。,FALSE,西双版纳原始森林公园湄公河水底世界
云南,古滇朵拉萌宠乐园,,0,58,96,云南·昆明·晋宁县,"102.762156,24.77143",古滇朵拉萌宠乐园位于昆明市七彩云南?古滇名城项目内，占地117亩，是北京朵拉爱萌旅游开发股份有限公司秉承 “回归本真、融,FALSE,昆明市晋宁区经十一路1号
云南,昆明小人国,,0,90,96,云南·昆明·世界蝴蝶生态园,"102.624528,24.858553",100多个袖珍人给您带来精彩的演出,FALSE,云南省昆明市西山区碧鸡镇黑荞母村
云南,普达措国家公园,5A,4.4,100,96,云南·迪庆·香格里拉县,"99.91451,27.807468",张杰谢娜婚礼之地，原始森林中的伊甸园,FALSE,云南省迪庆藏族自治州香格里拉县建塘镇双桥
云南,洱海,4A,5,113.5,94,云南·大理·大理市,"100.262195,25.610132",邂逅爱情的绝佳之地,FALSE,云南省大理市下关洱河南路1号
云南,可邑小镇,,0,35,94,云南·红河·弥勒县,"103.373326,24.519569",感受原汁原味的彝族生态文化,FALSE,云南省红河哈尼族彝族自治州弥勒县城22公里（西三镇可邑村）
云南,傣秀剧场,,0,328,84,云南·西双版纳·景洪市,"100.771566,22.018279",傣秀剧场将传统元素与现代科技高度融合,FALSE,云南省西双版纳景洪市嘎栋工业区融创国际度假区傣秀剧院
云南,大理古城,,4.8,0.4,82,云南·大理·大理市,"100.170462,25.693527",在静谧中悠远，美得不经意却那么沁人心脾,FALSE,云南大理市下关
